opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.5,0.5,0.005,5,0.9,55.3,19.0370691021491,0.1,0.0,0.9,0.0
0.5,0.5,0.01,5,1.0,53.4,14.228141129465929,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,1.0,53.9,13.553228397691822,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,1.0,51.6,15.265647709809107,0.0,0.0,1.0,0.0
1.0,1.0,0.001,5,0.8,57.4,20.790382391865716,0.2,0.0,0.8,0.0
1.0,1.0,0.002,5,1.0,50.8,9.6,0.0,0.0,1.0,0.0
1.0,1.0,0.005,5,1.0,60.0,12.84523257866513,0.0,0.0,1.0,0.0
1.0,1.0,0.01,5,1.0,55.2,19.14575671003891,0.0,0.0,1.0,0.0
1.0,1.0,0.02,5,0.8,72.4,17.934324631833785,0.2,0.0,0.8,0.0
1.0,1.0,0.05,5,1.0,55.1,17.043767189210254,0.0,0.0,1.0,0.0
0.01,0.01,0.001,5,1.0,50.2,13.78985134075056,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,57.3,13.704378862246914,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,1.0,56.6,14.22814112946593,0.0,0.0,1.0,0.0
0.01,0.01,0.01,5,0.9,58.5,19.03811965504997,0.1,0.0,0.9,0.0
0.01,0.01,0.02,5,1.0,46.9,11.449454135459908,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,55.7,17.527407110009168,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,0.9,53.4,20.293841430345314,0.1,0.0,0.9,0.0
0.02,0.02,0.002,5,1.0,54.0,12.83744522870497,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,0.9,55.7,21.033544637079125,0.1,0.0,0.9,0.0
0.02,0.02,0.01,5,1.0,58.3,10.315522284402277,0.0,0.0,0.9,0.1
0.02,0.02,0.02,5,0.9,55.1,21.01166342772509,0.1,0.0,0.9,0.0
0.02,0.02,0.05,4,1.0,45.0,9.241212041718338,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,0.9,53.4,15.14067369703211,0.1,0.0,0.9,0.0
0.05,0.05,0.002,5,1.0,55.3,13.863982111933066,0.0,0.0,1.0,0.0
0.05,0.05,0.005,5,1.0,64.1,17.25369525637914,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,1.0,56.5,17.379585725787596,0.0,0.0,1.0,0.0
0.05,0.05,0.02,5,1.0,56.2,16.283734215467902,0.0,0.0,1.0,0.0
0.05,0.05,0.05,5,1.0,56.2,13.021520648526423,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,1.0,52.6,17.362027531368565,0.0,0.0,1.0,0.0
0.1,0.1,0.002,6,1.0,53.4,12.69803134347998,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,1.0,56.4,13.850631754544628,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,67.7,17.49885710553692,0.0,0.0,1.0,0.0
0.1,0.1,0.02,4,1.0,59.5,16.794344286098223,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,1.0,52.0,20.1544039852336,0.0,0.0,0.9,0.1
0.2,0.2,0.001,5,1.0,51.2,10.33247308247159,0.0,0.0,1.0,0.0
0.2,0.2,0.002,5,1.0,63.8,16.672132437093943,0.0,0.0,1.0,0.0
0.2,0.2,0.005,5,1.0,55.8,14.74313399518569,0.0,0.0,1.0,0.0
0.2,0.2,0.01,5,1.0,50.6,15.8,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,1.0,56.4,10.537551897855593,0.0,0.0,1.0,0.0
0.2,0.2,0.05,5,0.9,58.8,21.535087647836495,0.1,0.0,0.9,0.0
0.5,0.5,0.001,5,0.9,56.5,15.279070652366261,0.1,0.0,0.9,0.0
0.5,0.5,0.002,5,1.0,49.3,10.93663568013491,0.0,0.0,1.0,0.0
0.5,0.5,0.005,5,0.9,53.2,16.240689640529432,0.1,0.0,0.9,0.0
0.5,0.5,0.01,5,0.9,56.6,16.578299068360423,0.1,0.0,0.9,0.0
0.5,0.5,0.02,5,1.0,52.3,16.888161534045086,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,0.9,55.8,20.158372950216,0.1,0.0,0.9,0.0
1.0,1.0,0.001,5,0.9,56.5,21.115160430363773,0.1,0.0,0.9,0.0
1,1,0.002,5,0.9,58.3,20.179444987412314,0.1,0.0,0.9,0.0
1,1,0.005,5,1.0,50.6,12.467557900406959,0.0,0.0,1.0,0.0
1,1,0.01,5,0.9,62.1,24.776803667947163,0.1,0.0,0.9,0.0
1,1,0.02,5,0.9,60.5,19.241881404893856,0.1,0.0,0.9,0.0
1,1,0.05,5,1.0,48.9,11.51911454930456,0.0,0.0,1.0,0.0
0.01,0.01,0.001,5,1.0,52.6,13.61763562443936,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,59.7,15.659182609574486,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,0.9,59.1,19.22732430682959,0.1,0.0,0.9,0.0
0.01,0.01,0.01,5,1.0,59.0,17.158088471621774,0.0,0.0,1.0,0.0
0.01,0.01,0.02,6,1.0,50.2,13.219682295728594,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,51.7,12.190570126126177,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,1.0,51.1,15.87734234687909,0.0,0.0,1.0,0.0
0.02,0.02,0.002,5,1.0,61.1,15.469001260585635,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,1.0,54.4,16.995293466133496,0.0,0.0,0.9,0.1
0.02,0.02,0.01,5,0.9,60.8,18.73926359278827,0.1,0.0,0.9,0.0
0.02,0.02,0.02,6,1.0,62.0,12.465953633797938,0.0,0.0,1.0,0.0
0.02,0.02,0.05,5,0.9,53.4,16.31686244349691,0.1,0.0,0.9,0.0
0.05,0.05,0.001,5,1.0,61.1,13.239712987825682,0.0,0.0,1.0,0.0
0.05,0.05,0.002,5,1.0,53.8,20.158372950216,0.0,0.0,0.9,0.1
0.05,0.05,0.005,6,1.0,49.1,10.290286682109494,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,0.9,52.8,16.271447384913245,0.1,0.0,0.9,0.0
0.05,0.05,0.02,5,0.8,61.9,18.151859408887013,0.2,0.0,0.8,0.0
0.05,0.05,0.05,5,1.0,53.4,17.46539435569664,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,1.0,48.6,18.499729727755486,0.0,0.0,1.0,0.0
0.1,0.1,0.002,4,0.9,52.5,17.833956375409244,0.1,0.0,0.9,0.0
0.1,0.1,0.005,6,1.0,52.7,9.80866963456309,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,0.9,57.8,19.584687896415403,0.1,0.0,0.9,0.0
0.1,0.1,0.02,5,1.0,50.5,15.14760707174569,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,1.0,54.9,9.38562730988185,0.0,0.0,1.0,0.0
0.2,0.2,0.001,5,0.8,61.6,20.43624231604235,0.2,0.0,0.8,0.0
0.2,0.2,0.002,5,1.0,57.3,16.775279431353745,0.0,0.0,1.0,0.0
0.2,0.2,0.005,5,1.0,45.6,14.093970341958295,0.0,0.0,1.0,0.0
0.2,0.2,0.01,5,0.9,67.5,14.575664650368434,0.1,0.0,0.9,0.0
0.2,0.2,0.02,5,0.9,59.1,19.89698469617947,0.1,0.0,0.9,0.0
0.2,0.2,0.05,5,0.8,55.9,21.087674124947966,0.2,0.0,0.8,0.0
0.5,0.5,0.001,5,0.8,67.6,19.39690696992693,0.2,0.0,0.8,0.0
0.5,0.5,0.002,5,0.9,56.1,17.778920102188437,0.1,0.0,0.9,0.0
0.5,0.5,0.005,5,1.0,51.9,15.501290268877622,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,1.0,50.7,10.583477689304212,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,1.0,58.9,17.541094606665798,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,0.9,62.7,19.12093093967969,0.1,0.0,0.9,0.0
1.0,1.0,0.001,5,1.0,55.6,15.383107618423528,0.0,0.0,1.0,0.0
1,1,0.002,5,0.9,63.2,19.70685160039523,0.1,0.0,0.9,0.0
1,1,0.005,4,0.9,62.4,19.68857536745612,0.1,0.0,0.9,0.0
1,1,0.01,5,1.0,53.6,15.047923444781343,0.0,0.0,1.0,0.0
1,1,0.02,5,0.9,55.0,18.584940139801365,0.1,0.0,0.9,0.0
1.0,1.0,0.05,5,1.0,57.5,13.093891705677116,0.0,0.0,1.0,0.0
0.01,0.01,0.001,5,1.0,48.7,13.528118864054973,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,56.9,15.39772710499832,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,1.0,48.0,14.785127662620976,0.0,0.0,1.0,0.0
0.01,0.01,0.01,5,0.9,69.1,15.096025967121282,0.1,0.0,0.9,0.0
0.01,0.01,0.02,4,1.0,51.8,11.813551540497887,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,0.7,63.8,23.181026724457222,0.3,0.0,0.7,0.0
0.02,0.02,0.001,5,0.9,54.0,18.984203960134856,0.1,0.0,0.9,0.0
0.02,0.02,0.002,5,1.0,53.6,20.66010648568879,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,1.0,51.7,7.349149610669251,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,49.2,9.846826900072937,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,1.0,53.9,10.014489502715552,0.0,0.0,1.0,0.0
0.02,0.02,0.05,5,1.0,55.1,14.355835050598763,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,0.9,63.1,15.410710561164919,0.1,0.0,0.9,0.0
0.05,0.05,0.002,5,0.7,62.8,24.432764886520722,0.3,0.0,0.7,0.0
0.05,0.05,0.005,4,0.9,53.8,17.718916445426338,0.1,0.0,0.9,0.0
0.05,0.05,0.01,5,1.0,57.6,13.850631754544628,0.0,0.0,1.0,0.0
0.05,0.05,0.02,5,0.9,60.7,19.152284459040388,0.1,0.0,0.9,0.0
0.05,0.05,0.05,5,0.9,61.0,21.118712081942874,0.1,0.0,0.9,0.0
0.1,0.1,0.001,5,1.0,48.8,14.4138821973818,0.0,0.0,1.0,0.0
0.1,0.1,0.002,6,1.0,60.6,17.007057358637912,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,0.9,58.6,19.93088056258428,0.1,0.0,0.9,0.0
0.1,0.1,0.01,5,1.0,54.2,14.17603611733548,0.0,0.0,1.0,0.0
0.1,0.1,0.02,5,1.0,52.1,12.389108119634763,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,0.9,51.5,17.3738308959193,0.1,0.0,0.9,0.0
0.2,0.2,0.001,5,0.8,65.2,20.473397373176734,0.2,0.0,0.8,0.0
0.2,0.2,0.002,5,0.9,61.3,18.547506570965272,0.1,0.0,0.9,0.0
0.2,0.2,0.005,6,1.0,58.9,16.422241016377757,0.0,0.0,1.0,0.0
0.2,0.2,0.01,5,0.9,49.2,19.89371760129313,0.1,0.0,0.9,0.0
0.2,0.2,0.02,5,0.9,61.4,19.153067639414843,0.1,0.0,0.9,0.0
0.2,0.2,0.05,5,0.7,59.7,24.178709642989634,0.3,0.0,0.7,0.0
0.5,0.5,0.001,5,1.0,52.5,14.630447703334305,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,0.9,60.4,15.100993344810137,0.1,0.0,0.9,0.0
0.5,0.5,0.005,5,1.0,49.2,16.89852064531094,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,0.9,49.5,20.145719148245863,0.1,0.0,0.9,0.0
0.5,0.5,0.02,5,1.0,56.5,14.705441169852742,0.0,0.0,1.0,0.0
0.5,0.5,0.05,4,0.9,58.3,22.781790974372495,0.1,0.0,0.9,0.0
1.0,1.0,0.001,5,1.0,53.9,15.725457068079136,0.0,0.0,1.0,0.0
1,1,0.002,5,1.0,50.4,10.938007131100255,0.0,0.0,1.0,0.0
1,1,0.005,5,0.9,62.2,24.144564605724412,0.1,0.0,0.9,0.0
1,1,0.01,5,1.0,52.6,12.93213052826177,0.0,0.0,1.0,0.0
1,1,0.02,5,0.9,51.9,17.363467395655743,0.1,0.0,0.9,0.0
1,1,0.05,4,0.9,59.6,22.04631488480558,0.1,0.0,0.8,0.1
