opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.5,0.5,0.05,7,1.0,44.7,18.133118871280804,0.0,0.0,0.1,0.9
0.5,0.5,0.1,3,1.0,64.6,25.30296425322535,0.0,0.0,0.2,0.8
0.5,0.5,0.2,7,0.9,46.6,22.280933553152572,0.1,0.0,0.2,0.7
0.5,0.5,0.5,3,0.9,53.9,22.801096464863264,0.1,0.0,0.2,0.7
1,1,0.001,3,1.0,44.8,15.217095649301807,0.0,0.0,0.2,0.8
1,1,0.01,3,1.0,37.9,13.25481044753187,0.0,0.0,0.4,0.6
1,1,0.05,3,0.7,54.7,30.55503231875234,0.3,0.0,0.2,0.5
1,1,0.1,3,0.9,45.1,21.144502831705456,0.1,0.0,0.0,0.9
1,1,0.2,3,1.0,66.4,19.016834647227704,0.0,0.0,0.0,1.0
1,1,0.5,3,1.0,37.7,15.212166183683374,0.0,0.0,0.3,0.7
0.01,0.01,0.001,3,1.0,45.0,20.074859899884732,0.0,0.0,0.1,0.9
0.01,0.01,0.01,3,1.0,49.4,20.489997559785117,0.0,0.0,0.1,0.9
0.01,0.01,0.05,3,0.9,65.6,26.62029301115974,0.1,0.0,0.1,0.8
0.01,0.01,0.1,3,1.0,52.5,15.647683534632211,0.0,0.0,0.0,1.0
0.01,0.01,0.2,3,1.0,49.9,19.891958174096388,0.0,0.0,0.0,1.0
0.01,0.01,0.5,3,0.9,60.9,24.02685996962566,0.1,0.0,0.1,0.8
0.02,0.02,0.001,3,1.0,43.5,12.142899159591172,0.0,0.0,0.1,0.9
0.02,0.02,0.01,3,1.0,37.6,12.854571171377131,0.0,0.0,0.0,1.0
0.02,0.02,0.05,3,1.0,40.1,8.080222769206305,0.0,0.0,0.1,0.9
0.02,0.02,0.1,3,0.9,60.2,22.216210297888342,0.1,0.0,0.2,0.7
0.02,0.02,0.2,3,0.9,53.5,22.55770378385176,0.1,0.0,0.0,0.9
0.02,0.02,0.5,7,1.0,48.3,22.733455522643276,0.0,0.0,0.1,0.9
0.05,0.05,0.001,7,0.9,52.3,19.844646633286267,0.1,0.0,0.0,0.9
0.05,0.05,0.01,3,1.0,50.3,21.429185705481206,0.0,0.0,0.1,0.9
0.05,0.05,0.05,7,1.0,47.5,19.901004999748128,0.0,0.0,0.0,1.0
0.05,0.05,0.1,7,1.0,43.7,17.000294115102832,0.0,0.0,0.0,1.0
0.05,0.05,0.2,3,0.9,49.7,18.40135864549137,0.1,0.0,0.1,0.8
0.05,0.05,0.5,3,1.0,46.3,19.864792976520043,0.0,0.0,0.3,0.7
0.1,0.1,0.001,3,1.0,48.9,15.636176003102548,0.0,0.0,0.0,1.0
0.1,0.1,0.01,3,0.8,58.9,23.926763257908497,0.2,0.0,0.0,0.8
0.1,0.1,0.05,3,1.0,53.2,20.807690885823924,0.0,0.0,0.0,1.0
0.1,0.1,0.1,3,1.0,47.8,19.3277003288027,0.0,0.0,0.0,1.0
0.1,0.1,0.2,3,1.0,63.9,20.408086632509185,0.0,0.0,0.1,0.9
0.1,0.1,0.5,7,1.0,44.4,19.89070134510093,0.0,0.0,0.0,1.0
0.2,0.2,0.001,3,0.8,74.8,22.175662335091594,0.2,0.0,0.1,0.7
0.2,0.2,0.01,3,1.0,57.5,16.830032679706836,0.0,0.0,0.0,1.0
0.2,0.2,0.05,3,1.0,49.6,18.429324458590447,0.0,0.0,0.0,1.0
0.2,0.2,0.1,3,1.0,51.2,17.976651523573572,0.0,0.0,0.4,0.6
0.2,0.2,0.2,3,1.0,55.4,26.541288589667232,0.0,0.0,0.0,1.0
0.2,0.2,0.5,3,1.0,56.2,16.4304595188327,0.0,0.0,0.1,0.9
0.5,0.5,0.001,7,1.0,50.2,21.27815781499893,0.0,0.0,0.1,0.9
0.5,0.5,0.01,3,1.0,36.8,6.690291473471093,0.0,0.0,0.0,1.0
0.5,0.5,0.05,3,1.0,45.0,16.15549442140351,0.0,0.0,0.3,0.7
0.5,0.5,0.1,3,0.9,60.6,26.777602581261828,0.1,0.0,0.1,0.8
0.5,0.5,0.2,5,1.0,50.3,21.20400905489337,0.0,0.0,0.1,0.9
0.5,0.5,0.5,3,1.0,53.0,25.071896617527763,0.0,0.0,0.0,1.0
1,1,0.001,3,1.0,62.1,24.764692608631346,0.0,0.0,0.0,1.0
1,1,0.01,3,1.0,44.1,14.78817094843037,0.0,0.0,0.0,1.0
1,1,0.05,3,1.0,51.7,22.131651542530665,0.0,0.0,0.0,1.0
1,1,0.1,3,0.9,47.3,22.614375958668415,0.1,0.0,0.3,0.6
1,1,0.2,3,1.0,44.9,20.072119967756272,0.0,0.0,0.3,0.7
1,1,0.5,3,1.0,38.8,14.715977711317723,0.0,0.0,0.0,1.0
0.01,0.01,0.001,3,1.0,47.6,17.17090562550502,0.0,0.0,0.0,1.0
0.01,0.01,0.01,3,1.0,45.9,15.501290268877622,0.0,0.0,0.3,0.7
0.01,0.01,0.05,3,1.0,61.1,22.496444163467256,0.0,0.0,0.0,1.0
0.01,0.01,0.1,3,0.9,60.6,22.795613613149353,0.1,0.0,0.0,0.9
